Id,SalePrice
1461,123378.2249490183
1462,155073.4075013971
1463,185037.81771237985
1464,201794.94077913207
1465,185091.8877344164
1466,177866.49535500113
1467,158755.41633703312
1468,170277.98393856193
1469,195542.1825060117
1470,114455.33106286966
1471,193710.5259690276
1472,94729.92781225027
1473,94152.98736621969
1474,143144.29577859878
1475,112894.84644230526
1476,378025.7531468606
1477,258946.02452669895
1478,304631.5898976108
1479,324027.93372005183
1480,509892.684232662
1481,337604.5736954063
1482,223776.125749657
1483,179869.77062988453
1484,173413.5546695082
1485,176568.4153988055
1486,188603.76400614044
1487,343836.23008734296
1488,237472.648585046
1489,200655.43428256176
1490,213778.0187250642
1491,192017.00922639327
1492,84475.06769862524
1493,184459.71422886895
1494,269304.71676284313
1495,260886.91653784987
1496,226200.95843783533
1497,169736.1255686536
1498,158374.00248648573
1499,152560.0556309823
1500,142178.8906463685
1501,169046.7753034082
1502,154367.36568539063
1503,264265.3499311564
1504,240428.8540842347
1505,216145.81867045307
1506,180650.60160754976
1507,246148.84132133637
1508,192022.12934624418
1509,156630.92832124676
1510,136920.78332589718
1511,137512.85795465304
1512,163109.52199799387
1513,150102.56783422772
1514,160697.83924967755
1515,190499.66851907037
1516,157204.81162481083
1517,142736.34778820392
1518,129303.90572848778
1519,211892.37662520225
1520,128519.91161598497
1521,130687.05379713603
1522,157505.5726767723
1523,116089.06736213258
1524,116049.5483276453
1525,135035.14361601137
1526,116333.5828307586
1527,105299.35701814527
1528,133440.05955304301
1529,142591.01896298365
1530,164877.64265375072
1531,98748.24197023685
1532,96004.6972596003
1533,126860.37934412094
1534,123717.63805723526
1535,146755.10965030265
1536,121161.33258796
1537,102610.49479041473
1538,157187.02616551393
1539,201489.06370536803
1540,112705.9274236213
1541,147689.43506692175
1542,144526.88370528005
1543,185806.03532607647
1544,79342.75063631231
1545,111462.21189077265
1546,127718.61946288365
1547,130703.5608342346
1548,126663.11056754384
1549,123971.93987156294
1550,138151.71341401842
1551,110584.70774308089
1552,135417.6219816784
1553,117400.8067104784
1554,127955.9494311506
1555,157248.20454512522
1556,99262.41695330871
1557,88650.16295282112
1558,97055.40960688287
1559,95266.07844545039
1560,116693.62932406354
1561,132277.75470366125
1562,124588.17231286723
1563,110000.60876527298
1564,151329.99201404865
1565,139415.58937697837
1566,208358.6983723436
1567,79334.06266478488
1568,219337.21586830873
1569,171896.0233465274
1570,150830.04900608168
1571,142696.8194761907
1572,149680.77765210377
1573,247543.27845934912
1574,136886.8615925956
1575,223329.38205254404
1576,222400.29283284923
1577,203914.01200506533
1578,140045.71961616242
1579,146713.17739513674
1580,200828.15525670897
1581,137392.18224500873
1582,123673.6054368705
1583,304085.621611461
1584,225739.65972656538
1585,145568.695297799
1586,85619.87773620347
1587,111183.36585160535
1588,143780.2875551131
1589,94409.92533066992
1590,131742.5718289617
1591,100788.80018096181
1592,129965.14523708583
1593,113013.08112491266
1594,130258.90680230042
1595,114619.37525108551
1596,211867.74859704214
1597,178526.51091923466
1598,195487.53121939412
1599,192803.74181093436
1600,185721.27404575417
1601,70949.50626755718
1602,121584.19288063735
1603,97865.48223777128
1604,269045.82991053583
1605,245266.62926942302
1606,169917.9650805463
1607,172772.69784983332
1608,220029.27005332458
1609,195341.15588296394
1610,153965.41051733226
1611,150654.7094284715
1612,179078.87487004057
1613,159641.4817907344
1614,115961.0407826336
1615,89965.00827590274
1616,85165.28212116848
1617,92167.47156040609
1618,127161.79435037015
1619,147903.2334365963
1620,185494.07207761417
1621,136883.05245572372
1622,146881.6250532782
1623,261451.2737358493
1624,207349.11733707
1625,118684.29723447651
1626,160493.684415434
1627,191857.59277626485
1628,295086.98114689183
1629,179740.30956547803
1630,352321.09946945903
1631,234284.59562426902
1632,249064.11269158122
1633,171993.612756765
1634,186554.22652549107
1635,178804.00966448413
1636,154170.86303293193
1637,173465.22533889412
1638,194903.22793820017
1639,189409.51562205428
1640,255282.0863144051
1641,183438.32123667354
1642,235489.61707043537
1643,230407.95290693082
1644,242278.23373285765
1645,182254.39895856613
1646,155203.58193961266
1647,154364.54386059195
1648,130422.09905053717
1649,133321.63231251392
1650,112223.86801284052
1651,130702.43866081514
1652,96113.9570170298
1653,96515.82659498109
1654,137094.51454237237
1655,130369.00471293218
1656,137963.62509359868
1657,140706.8607555676
1658,145729.9420542135
1659,119890.19063988751
1660,148117.86192932108
1661,425569.87490622746
1662,366394.7271619001
1663,356145.7246207777
1664,492314.2905030994
1665,302396.3679830735
1666,331580.86265491263
1667,358269.66083470074
1668,346428.07230924506
1669,282030.83494588494
1670,329659.75532960735
1671,254188.15132420926
1672,436607.4190036548
1673,299717.77840352984
1674,242840.02656631512
1675,189292.3209942543
1676,184448.01470358932
1677,222488.7159438011
1678,501422.89853823924
1679,403954.07299192314
1680,326435.16733351914
1681,252223.66095791155
1682,324754.4249015492
1683,189042.80152495747
1684,175578.2104707238
1685,167666.3877399306
1686,182268.5104820372
1687,162981.1352200369
1688,188090.9746158252
1689,186087.0193773741
1690,188949.64863569822
1691,176071.0183135993
1692,259871.00006478425
1693,169179.82246100856
1694,173764.62332414018
1695,162433.9586924516
1696,270076.90731165267
1697,170631.6598088774
1698,352449.7719990295
1699,312322.4120215347
1700,242653.76508754806
1701,264577.54153619875
1702,252003.40517096344
1703,245018.09385739485
1704,271455.4679023
1705,255629.91918463085
1706,465259.2857742776
1707,221188.46683732007
1708,202444.3835905999
1709,265919.65635397367
1710,234270.03730045026
1711,275489.95866941
1712,285293.46454301657
1713,260612.65362212554
1714,216670.68283325958
1715,199340.46055967876
1716,172990.95134371036
1717,166593.84275940378
1718,136853.5560431179
1719,215899.86333254754
1720,238046.31025995137
1721,155472.15175402295
1722,132355.31365363067
1723,149136.93993624896
1724,210559.3777376032
1725,236572.37965224963
1726,190350.38499626087
1727,172165.59262785185
1728,183048.66452197172
1729,167235.9361163199
1730,163281.05749024233
1731,117533.29431277035
1732,123623.77252817618
1733,117848.96793806119
1734,119221.68163729431
